Title,Year,Score,Description,Director,Screenplay,Type,Revenue
Female Ninjas Magic Chronicles 4: Rebel Forces at the Threshold,1994,33,"The female ninjas have to stop an alliance from carrying out their dastardly deeds, which includes bizarre ninjitsu sex magic to aid them in their quest.",Masaru Tsushima,Hiromichi Nakamoto,Action,
Godzilla x Kong: The New Empire,2024,72,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",Adam Wingard,"Simon Barrett, Terry Rossio, Jeremy Slater","Action, Adventure, Science Fiction","567,156,493.00"
A Quiet Place: Day One,2024,68,"As New York City is invaded by alien creatures who hunt by sound, a woman named Sam fights to survive with her cat.",Michael Sarnoski,Michael Sarnoski,"Horror, Science Fiction, Thriller","260,894,737.00"
Lee,2024,69,"The true story of photographer Elizabeth 'Lee' Miller, a fashion model who became an acclaimed war correspondent for Vogue magazine during World War II.",Ellen Kuras,"John Collee, Marion Hume, Liz Hannah","Drama, History, War","6,870,131.00"
Twisters,2024,70,"As storm season intensifies, the paths of former storm chaser Kate Carter and reckless social-media superstar Tyler Owens collide when terrifying phenomena never seen before are unleashed. The pair and their competing teams find themselves squarely in the paths of multiple storm systems converging over central Oklahoma in the fight of their lives.",Lee Isaac Chung,Mark L. Smith,"Thriller, Action","369,590,675.00"
Wolfs,2024,66,"Hired to cover up a high-profile crime, a fixer soon finds his night spiralling out of control when he's forced to work with an unexpected counterpart.",Jon Watts,,"Comedy, Thriller, Action",
Hijack 1971,2024,60,"Pilots Tae-in and Gyu-sik are set to fly to Gimpo. Under the guidance of flight attendant Ok-soon, passengers are busy boarding. However, shortly after takeoff, a homemade bomb explodes, turning the cabin into chaos.",Kim Sung-han,,"Crime, Action, Thriller",14.00
Furiosa: A Mad Max Saga,2024,75,"As the world fell, young Furiosa is snatched from the Green Place of Many Mothers and falls into the hands of a great Biker Horde led by the Warlord Dementus. Sweeping through the Wasteland they come across the Citadel presided over by The Immortan Joe. While the two Tyrants war for dominance, Furiosa must survive many trials as she puts together the means to find her way home.",George Miller,,"Action, Science Fiction, Adventure","172,775,791.00"
Coraline,2009,79,"Wandering her rambling old house in her boring new town, 11-year-old Coraline discovers a hidden door to a strangely idealized version of her life. In order to stay in the fantasy, she must make a frighteningly real sacrifice.",Henry Selick,Henry Selick,"Animation, Family, Fantasy","172,750,668.00"
Do Patti,2024,72,A puzzling investigation leads a no-nonsense cop down a dark path involving the vicious rivalry between twin sisters and the volatile man they both love.,Shashanka Chaturvedi,Kanika Dhillon,"Thriller, Mystery, Drama, Crime",
The Devil's Bath,2024,70,"18th century Austria. Villages surrounded by deep forests. A woman is sentenced to death after killing a baby. Agnes is marrying her loved one and candidly prepares herself for a spouse life. Soon after, her head and heart start to feel heavy. Day after day, she is increasingly trapped in a murky and lonely path leading to evil thoughts. Maybe not just thoughts…","Veronika Franz, Severin Fiala",,"Horror, Mystery, History",
Migration,2023,74,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",Benjamin Renner,Mike White,"Animation, Action, Adventure, Comedy, Family","298,776,052.00"
To Be Twenty,1978,58,"Lia and Tina are two beautiful girls who meet and realize that they have a lot in common. They are both young, beautiful and pissed off, so they decide to hitchhike their way to Rome to find Nazariota's commune, a place to stay for free and have all the sex they want... or so they think. Things don't go as they have planned though, and soon they become involved in prostitution, the police and an aggressive gang.",Fernando Di Leo,Fernando Di Leo,Comedy,
The Shadow Strays,2024,74,"Skilled in the art of killing, a young assassin defies her mentor to save a boy from a ruthless crime syndicate — and she'll destroy anyone in her path.",Timo Tjahjanto,,"Action, Crime, Thriller",
Prey,2024,63,A young couple is compelled to leave their Christian missionary station in the Kalahari Desert after being threatened with death by an extremist militant gang. After crashing their aircraft they must battle man and beast for their lives.,Mukunda Michael Dewil,,"Action, Thriller, Horror",
Moana 2,2024,0,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.","Dana Ledoux Miller, David G. Derrick Jr., Jason Hand",,"Animation, Adventure, Family, Comedy",
Rebel Ridge,2024,70,A former Marine confronts corruption in a small town when local law enforcement unjustly seizes the bag of cash he needs to post his cousin's bail.,Jeremy Saulnier,,"Crime, Action, Thriller, Drama",
Spider-Man: No Way Home,2021,80,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",Jon Watts,,"Action, Adventure, Science Fiction","1,921,847,111.00"
